KIDEN;Altstation;Altsommetdespistes;Kmpistesalpin;Nbvertes;Nbbleues;Nbrouges;Nbnoires;tlpheriques;tlcabines;tlsieges;tlskis;Pxalpin;Kmpistesfond;PXfond;Nblits;bassesaison;hautesaison;Prixappartementbassesaison;Prixappartementhautesaison;Neigeartificielle;SkiFrance;Liaisonsautresstations;Tranchesprixsemaine;Rapportqualite.prixforfait;Stationfamiliale.enfants;Domaineperformant;Grandski;Surf;Stationvillagenature;Grandsitenordique;Activitesnature;Manifestationsculturelles;Animation;Autoroute;sncf;aeroport;Massif;Departement
Besse-SuperBesse;1350;1850;40;5;9;9;4;0;1;3;17;105;95;31;12500;275;315;1600;2500;Neige art.;Ski-france;Liaison;Px 5000-7000;Bon rapport q-p;familiale;D. performant;Pas grand ski;Pas surf;Station pas village;D. grand fond;Act. nature;Pas man. culturelles;Animations;Autoroute proche;sncf proche;aeroport proche;Massif Central;Puy de Dªme (63)
LeMontDore;1050;1850;42;15;9;6;2;2;0;1;17;100;30;31;13000;215;260;1600;2600;Pas neige art.;pas Ski-france;Liaison;Px 5000-7000;Bon rapport q-p;familiale;D. performant;Pas grand ski;Pas surf;Station pas village;D. grand fond;Act. nature;Man. culturelle1;Animations;Autoroute proche;sncf proche;aeroport proche;Massif Central;Puy de Dªme (63)
LaTourdAuvergne;1150;1400;6;1;2;3;0;0;0;0;3;72;105;31;5000;186;243;1200;1400;Pas neige art.;pas Ski-france;Pas liaison;Px <5000;Bon rapport q-p;pas familiale;D. pas performant;Pas grand ski;Pas surf;Station village;D. grand fond;Act. nature;Pas man. culturelles;Pas animation;Autoroute loin;sncf proche;aeroport loin;Massif Central;Puy de Dªme (63)
LaLogedesGardes;1000;1100;3;1;1;1;1;0;0;0;4;54;35;15;50;227;227;1450;1450;Pas neige art.;pas Ski-france;Pas liaison;Px <5000;Mauvais rapport q-p;pas familiale;D. pas performant;Pas grand ski;Pas surf;Station village;D. grand fond;Pas act. nature;Pas man. culturelles;Pas animation;Autoroute proche;sncf proche;aeroport proche;Massif Central;Autre Massif Central
LesEstablesMtMezenc;1350;1680;12;3;3;2;1;0;0;0;5;60;80;30;1500;190;190;1200;1200;Pas neige art.;pas Ski-france;Pas liaison;Px <5000;Bon rapport q-p;familiale;D. pas performant;Pas grand ski;Pas surf;Station village;D. grand fond;Act. nature;Pas man. culturelles;Pas animation;Autoroute loin;sncf proche;aeroport proche;Massif Central;Autre Massif Central
SainteEulalie;1200;1500;9;3;2;3;0;0;0;0;4;42;70;28;1080;170;220;1000;1550;Pas neige art.;pas Ski-france;Pas liaison;Px <5000;Mauvais rapport q-p;pas familiale;D. pas performant;Pas grand ski;Pas surf;Station village;D. grand fond;Act. nature;Pas man. culturelles;Pas animation;Autoroute loin;sncf proche;aeroport loin;Massif Central;Autre Massif Central
LacroixdeBauzon;1365;1511;6;3;4;1;1;0;0;0;5;64;45;28;120;325;325;2330;2330;Neige art.;pas Ski-france;Pas liaison;Px <5000;Mauvais rapport q-p;pas familiale;D. pas performant;Pas grand ski;Pas surf;Station pas village;D. grand fond;Act. nature;Pas man. culturelles;Pas animation;Autoroute loin;sncf loin;aeroport loin;Massif Central;Autre Massif Central
LesPlansdHotonnes;950;1350;12;3;8;2;0;0;0;0;10;70;70;30;500;215;285;850;1500;Pas neige art.;pas Ski-france;Pas liaison;Px <5000;Bon rapport q-p;familiale;D. pas performant;Pas grand ski;Pas surf;Station village;D. grand fond;Pas act. nature;Pas man. culturelles;Pas animation;Autoroute proche;sncf proche;aeroport proche;Jura;Ain (01)
Mijoux-Lelex;900;1680;50;14;10;8;3;0;3;4;22;100;120;35;7000;260;270;900;3600;Neige art.;Ski-france;Pas liaison;Px 5000-7000;Bon rapport q-p;pas familiale;D. performant;Pas grand ski;Pas surf;Station village;D. grand fond;Pas act. nature;Pas man. culturelles;Pas animation;Autoroute proche;sncf proche;aeroport proche;Jura;Ain (01)
LesRousses;1120;1680;40;16;7;16;4;0;0;2;38;95;220;40;16000;260;290;1700;2700;Neige art.;Ski-france;Pas liaison;Px 5000-7000;Mauvais rapport q-p;familiale;D. pas performant;Pas grand ski;Pas surf;Station village;D. grand fond;Act. nature;Man. culturelle1;Animations;Autoroute proche;sncf proche;aeroport proche;Jura;Jura (39)
Bellefontaine;1040;1300;5;1;1;1;0;0;0;0;4;70;60;35;1500;225;225;2050;2600;Pas neige art.;pas Ski-france;Liaison;Px 5000-7000;Bon rapport q-p;familiale;D. pas performant;Pas grand ski;Pas surf;Station village;D. grand fond;Act. nature;Pas man. culturelles;Pas animation;Autoroute proche;sncf proche;aeroport proche;Jura;Jura (39)
LesMoussieres;1100;1400;2;1;1;0;0;0;0;0;2;70;40;30;500;180;220;1400;1700;Pas neige art.;pas Ski-france;Pas liaison;Px <5000;Bon rapport q-p;pas familiale;D. pas performant;Pas grand ski;Pas surf;Station village;D. grand fond;Act. nature;Pas man. culturelles;Animations;Autoroute proche;sncf proche;aeroport proche;Jura;Jura (39)
ValFoncine;900;1250;2;2;0;0;0;0;0;0;2;37;60;30;1000;280;350;1250;1600;Pas neige art.;pas Ski-france;Pas liaison;Px <5000;Bon rapport q-p;pas familiale;D. pas performant;Pas grand ski;Pas surf;Station village;D. grand fond;Pas act. nature;Pas man. culturelles;Pas animation;Autoroute proche;sncf proche;aeroport proche;Jura;Jura (39)
ChapelledesBois;920;1420;7;1;1;1;1;0;0;0;4;70;300;30;1000;200;350;1000;2650;Pas neige art.;pas Ski-france;Pas liaison;Px <5000;Bon rapport q-p;familiale;D. pas performant;Pas grand ski;Pas surf;Station village;D. grand fond;Act. nature;Pas man. culturelles;Pas animation;Autoroute proche;sncf proche;aeroport loin;Jura;Doubs (25)
MetabiefMontdor;1000;1463;42;6;10;12;2;0;0;7;23;98;190;30;14500;200;250;2000;2650;Pas neige art.;Ski-france;Pas liaison;Px 5000-7000;Bon rapport q-p;familiale;D. performant;Pas grand ski;Surf;Station pas village;D. grand fond;Act. nature;Pas man. culturelles;Animations;Autoroute proche;sncf proche;aeroport loin;Jura;Doubs (25)
LeTanet;990;1280;5;2;2;2;1;0;0;0;4;82;30;0;3000;185;300;2000;2000;Pas neige art.;pas Ski-france;Pas liaison;Px <5000;Mauvais rapport q-p;pas familiale;D. pas performant;Pas grand ski;Pas surf;Station village;D. pas grand fond;Act. nature;Pas man. culturelles;Pas animation;Autoroute proche;sncf proche;aeroport loin;Vosges;Haut Rhin (68)
GascheneySchnepfendreid;1000;1260;10;4;3;9;3;0;0;1;12;90;66;20;3000;185;300;2000;2200;Pas neige art.;pas Ski-france;Pas liaison;Px <5000;Mauvais rapport q-p;pas familiale;D. pas performant;Pas grand ski;Pas surf;Station village;D. grand fond;Act. nature;Pas man. culturelles;Pas animation;Autoroute proche;sncf proche;aeroport loin;Vosges;Haut Rhin (68)
Gerardmer;666;1150;40;7;5;6;2;0;0;2;18;110;40;22;6300;200;300;1500;2250;Pas neige art.;Ski-france;Pas liaison;Px 5000-7000;Mauvais rapport q-p;familiale;D. performant;Pas grand ski;Pas surf;Station pas village;D. grand fond;Act. nature;Man. culturelle1;Animations;Autoroute loin;sncf proche;aeroport loin;Vosges;Vosges (88)
StMauricesurMoselle;500;1250;15;7;2;4;2;0;0;0;8;75;18;25;110;215;215;1600;1600;Pas neige art.;Ski-france;Pas liaison;Px <5000;Mauvais rapport q-p;familiale;D. pas performant;Pas grand ski;Pas surf;Station village;D. pas grand fond;Pas act. nature;Pas man. culturelles;Pas animation;Autoroute loin;sncf proche;aeroport loin;Vosges;Vosges (88)
BussangLaBouloie;850;1176;4;2;1;1;0;0;0;0;3;55;15;22;80;195;250;1475;2000;Pas neige art.;pas Ski-france;Pas liaison;Px <5000;Mauvais rapport q-p;familiale;D. pas performant;Pas grand ski;Pas surf;Station village;D. pas grand fond;Pas act. nature;Pas man. culturelles;Pas animation;Autoroute proche;sncf proche;aeroport proche;Vosges;Vosges (88)
Ventron;630;1100;20;2;3;4;1;0;0;1;7;90;16;22;1700;230;245;1200;1600;Pas neige art.;Ski-france;Pas liaison;Px <5000;Mauvais rapport q-p;pas familiale;D. pas performant;Pas grand ski;Pas surf;Station village;D. pas grand fond;Pas act. nature;Pas man. culturelles;Pas animation;Autoroute loin;sncf proche;aeroport loin;Vosges;Vosges (88)
LeValtin;750;1200;4;1;1;1;0;0;0;0;3;60;15;25;170;215;240;1800;2500;Pas neige art.;pas Ski-france;Pas liaison;Px <5000;Mauvais rapport q-p;pas familiale;D. pas performant;Pas grand ski;Pas surf;Station village;D. pas grand fond;Pas act. nature;Pas man. culturelles;Pas animation;Autoroute proche;sncf proche;aeroport proche;Vosges;Vosges (88)
LaBresse;900;1350;50;6;12;11;2;0;0;6;25;114;41;22;6000;200;200;1000;1750;Neige art.;Ski-france;Pas liaison;Px 5000-7000;Bon rapport q-p;familiale;D. performant;Pas grand ski;Surf;Station pas village;D. grand fond;Act. nature;Pas man. culturelles;Animations;Autoroute loin;sncf proche;aeroport loin;Vosges;Vosges (88)
